,city,lat,Lng,Max Temp,Date,Country,Wind speed,Humidity,Cloudiness
149,upernavik,72.79,-56.15,32.4,1537380958,GL,11.1,100,0
150,bekhtery,46.25,32.3,64.35,1537380958,UA,6.4,80,0
151,zhirnovsk,50.98,44.78,56.97,1537380959,RU,10.76,69,68
152,mandiana,10.62,-8.7,85.77,1537380959,GN,3.71,73,8
153,ouadda,8.07,22.4,70.92,1537380959,CF,3.04,94,32
154,manggar,-2.88,108.27,75.33,1537380960,ID,3.49,100,48
155,hofn,64.25,-15.21,50.0,1537378500,IS,26.4,53,75
156,havelock,34.88,-76.9,87.08,1537379640,US,8.05,55,20
157,jardim,-21.48,-56.15,89.64,1537380942,BR,15.68,59,0
158,ponta delgada,37.73,-25.67,75.2,1537380000,PT,5.82,73,20
159,fukue,35.03,136.69,73.4,1537378200,JP,2.24,78,75
160,buraydah,26.33,43.97,96.8,1537376400,SA,7.07,20,0
161,pyapon,16.29,95.68,78.39,1537380961,MM,17.81,96,92
162,kavieng,-2.57,150.8,80.82,1537380962,PG,4.72,100,76
163,yar-sale,66.83,70.83,50.94,1537380962,RU,11.21,94,92
164,mezen,65.85,44.24,40.5,1537380900,RU,3.6,91,0
165,salalah,17.01,54.1,74.07,1537380962,OM,5.39,100,56
166,weihai,37.5,122.11,68.13,1537380963,CN,12.66,100,100
167,laxou,48.68,6.15,78.8,1537380000,FR,3.36,47,0
168,kudahuvadhoo,2.67,72.89,77.94,1537380963,MV,14.0,100,80
169,fort nelson,58.81,-122.69,41.0,1537380000,CA,5.82,48,40
170,nanortalik,60.14,-45.24,40.95,1537380964,GL,6.96,97,56
171,ketchikan,55.34,-131.65,59.0,1537379580,US,10.29,69,20
172,te anau,-45.41,167.72,42.3,1537380964,NZ,10.98,67,20
173,lagoa,37.14,-8.45,75.2,1537380000,PT,5.82,83,0
174,apsheronsk,44.46,39.74,54.36,1537380965,RU,3.15,67,0
175,luwuk,-0.95,122.79,76.68,1537380966,ID,6.96,91,20
176,natal,-5.81,-35.21,84.2,1537376400,BR,21.92,58,75
177,nuristan,38.49,65.64,71.6,1537378200,UZ,2.24,46,0
178,salamiyah,35.01,37.05,75.87,1537380967,SY,7.07,48,0
179,novoagansk,61.94,76.66,51.93,1537380967,RU,7.96,63,76
180,codrington,-28.95,153.24,58.5,1537380967,AU,4.94,66,8
181,nuuk,64.17,-51.74,39.2,1537379400,GL,13.87,80,75
182,ixtapa,20.71,-105.21,86.0,1537375860,MX,2.15,70,40
183,hasaki,35.73,140.83,62.6,1537378200,JP,6.93,88,40
